id,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
LBR,,,,,,,,,,,,,,,,,,,,,,,,,,,28.14,,,,,,,,,
LBY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCA,,,,,,,,,,,,,,,13.24,,,,,,,,,,,,,,,,,,,,,
LCN,6.61,,,7.7,,,6.02,,,6.49,,,6.03,,,6.09,,,5.96,,,5.29,,,4.29,,,3.12,,2.89,2.78,2.62,2.6,,,
LDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIC,30.55,,,31.78,,,31.08,,,31.13,,,33.84,,,32.55,,,31.28,,,30,,,25.92,,,22.8,,21.5,20.25,19.31,18.4,,,
LIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LKA,,,,,2.55,,,,,1.49,,,,,1.6,,,,,,,1.41,,,,0.55,,,0.41,,,0.29,,,,
LMC,17.67,,,16.23,,,14.75,,,12.61,,,12.73,,,11.15,,,10.51,,,9.69,,,8.1,,,7.04,,5.96,5.02,4.55,4.03,,,
LMY,22.11,,,17.75,,,14.8,,,14.67,,,13.87,,,11.18,,,10.92,,,9.67,,,7.31,,,6.25,,5.42,4.7,4.32,3.8,,,
LSO,,,,,,44.17,,,,,,,,44.79,,,,,,,,31.99,,,,,,,,31.83,,,,,,
LTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTU,,,,,,,,0.05,,,,,0.91,,,0,,0.06,0.05,0.03,0.14,0.07,0.03,0.03,0.87,0.77,0.71,0.95,1.68,1.33,0.82,0.75,,,,
LUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LVA,,,,,,,,0.03,,,,,0,,0,0.19,0.35,0.4,,,,0.21,0.1,2.31,2.49,0.84,0,1.04,0.05,1.35,1,0.97,,,,
MAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAR,,,,2.35,,,,,,0.41,,,,,,,,1.32,,1.3,,,,,,0.6,,,,,,,,,,
MCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDA,,,,,,,,0,,,,3.28,,,,,4.73,9.05,12.68,11.08,7.97,3.98,1.43,1.9,3.32,0.59,0.27,0.25,0.15,0.11,0.04,0.04,0.01,0,,
MDG,,,,,,,,,,,,,30.35,,,,28.12,,27.71,,34.36,,,,31.7,,,,,40.32,,39.23,,,,
MDV,,,,,,,,,,,,,,,,,,,,,,2.57,,,,,,,1.5,,,,,,,
MEA,,,,1.59,,,1.66,,,1.12,,,0.99,,,0.85,,,0.7,,,,,,0.57,,,0.39,,,,,,,,
MEX,,,,2.26,,,,,2.22,,,2.88,,3.74,,4.33,,4.74,,3.46,,2.5,,2.24,,0.8,,0.87,,0.96,,0.67,,0.81,,
MHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIC,22.81,,,17.79,,,14.49,,,14.28,,,13.14,,,10.13,,,9.88,,,8.49,,,6.06,,,5.06,,4.16,3.42,3.05,2.51,,,
MKD,,,,,,,,,,,,,,,,,,0.04,,1,,0.31,0.24,0.32,0.38,0.56,,0.36,,,,,,,,
MLI,,,,,,,,,,,,,,51.88,,,,,,,22.91,,,,,17.46,,,15.19,,,,,,,
MLT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNE,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0,0.03,0.04,0,0,0.08,0.52,0.23,0,,
MNG,,,,,,,,,,,,,,,3.04,,,8.05,,,,2.42,,,,,0.23,,,0.1,0.06,0.06,,0.03,,
MNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOZ,,,,,,,,,,,,,,,,47.28,,,,,,41.53,,,,,,31.41,,,,,,,,
MRT,,,,,,,17.35,,,,,,13.66,,6.13,,,,,5.25,,,,3.59,,,,2.73,,,,,,1.4,,
MUS,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,0.11,,,,
MWI,,,,,,,,,,,,,,,,,24.92,,,,,,,31.68,,,,,,33.29,,,,,,
MYS,,,,0.58,,,0.31,,0.25,,,0.1,,,0.21,,0.03,,,,,,,0.09,,,0.12,,0.04,,,,,,,
NAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAM,,,,,,,,,,,,,27.77,,,,,,,,,,10.17,,,,,,6.65,,,,,,,
NCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NER,,,,,,,,,,,,34.12,,43.13,,,,,,,,,,,35.5,,28.75,,,,13.91,,,13.69,,
NGA,,,,,17,,,,,,,27.37,,,,31.08,,,,,,,21.92,,,,,,21.76,,,,,,,
NIC,,,,,,,,,,,,,6.95,,,,,4.39,,,8.62,,,,3.61,,,,3.62,,,,,1.57,,
NLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPL,,,,28.36,,,,,,,,,,,21.2,,,,,,,,14.49,,,,,,,3.05,,,,,,
NRU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
